11,0.003641,11,0.004002,11,0.005503,11,0.00568,11,0.004811,11,0.005038,11,0.00443,11,0.005131,11,0.00578,11,0.006652,11,0.003208,11,0.005745,11,0.004005,11,0.00697,11,0.005113,11,0.006299,11,0.003281,11,0.003326,11,0.006018,11,0.003856,11,0.0053,11,0.005998,11,0.005251,11,0.002969,11,0.004291,11,0.005086,11,0.00524,11,0.005477,11,0.005792,11,0.005532
12,0.00485,12,0.005084,12,0.006813,12,0.006869,12,0.005867,12,0.006411,12,0.005584,12,0.00637,12,0.007023,12,0.008039,12,0.004351,12,0.007097,12,0.005301,12,0.008354,12,0.005968,12,0.007615,12,0.004009,12,0.005015,12,0.007354,12,0.005227,12,0.006595,12,0.007495,12,0.006511,12,0.004168,12,0.006256,12,0.00628,12,0.006795,12,0.006951,12,0.007231,12,0.006905
13,0.005934,13,0.005793,13,0.0079,13,0.007592,13,0.006842,13,0.007576,13,0.006424,13,0.007402,13,0.008149,13,0.008826,13,0.005275,13,0.008403,13,0.006127,13,0.009405,13,0.006712,13,0.008792,13,0.005168,13,0.006387,13,0.00848,13,0.006502,13,0.007609,13,0.00861,13,0.007422,13,0.005232,13,0.007406,13,0.007465,13,0.008381,13,0.008188,13,0.008473,13,0.008062
14,0.006515,14,0.006356,14,0.00849,14,0.007936,14,0.007729,14,0.008356,14,0.007113,14,0.007727,14,0.008675,14,0.009578,14,0.005873,14,0.00907,14,0.007114,14,0.01008,14,0.007121,14,0.009483,14,0.00619,14,0.007203,14,0.009054,14,0.00734,14,0.008095,14,0.009401,14,0.007726,14,0.006172,14,0.008179,14,0.008199,14,0.009067,14,0.008963,14,0.00923,14,0.008745
15,0.006661,15,0.006353,15,0.008726,15,0.007765,15,0.007866,15,0.00867,15,0.007269,15,0.007639,15,0.008917,15,0.00948,15,0.005927,15,0.009194,15,0.007459,15,0.01023,15,0.007141,15,0.009642,15,0.006528,15,0.007317,15,0.009188,15,0.007671,15,0.008284,15,0.009564,15,0.007275,15,0.006496,15,0.008821,15,0.00869,15,0.009446,15,0.009325,15,0.009681,15,0.00907
16,0.006283,16,0.006109,16,0.008232,16,0.007212,16,0.007988,16,0.008442,16,0.006913,16,0.007136,16,0.008681,16,0.009036,16,0.005788,16,0.009128,16,0.007102,16,0.01002,16,0.006968,16,0.009138,16,0.006413,16,0.006744,16,0.009063,16,0.007561,16,0.008089,16,0.009208,16,0.006654,16,0.006095,16,0.008835,16,0.008263,16,0.009051,16,0.009072,16,0.009481,16,0.008612
17,0.005667,17,0.005552,17,0.007348,17,0.006424,17,0.007696,17,0.007511,17,0.006021,17,0.006255,17,0.008108,17,0.008272,17,0.005369,17,0.00832,17,0.006527,17,0.009237,17,0.006163,17,0.008445,17,0.005711,17,0.005534,17,0.008439,17,0.006566,17,0.007499,17,0.008421,17,0.005647,17,0.005281,17,0.008193,17,0.007276,17,0.008117,17,0.008516,17,0.008741,17,0.007461
18,0.004786,18,0.004959,18,0.006067,18,0.005437,18,0.007155,18,0.00642,18,0.005135,18,0.005161,18,0.007523,18,0.006786,18,0.004564,18,0.006788,18,0.005407,18,0.008038,18,0.005146,18,0.007466,18,0.004742,18,0.004053,18,0.007475,18,0.005397,18,0.006787,18,0.007126,18,0.004515,18,0.004064,18,0.006963,18,0.006059,18,0.006851,18,0.007299,18,0.007576,18,0.00611
19,0.003836,19,0.003989,19,0.004446,19,0.004424,19,0.006074,19,0.005178,19,0.004213,19,0.004061,19,0.006193,19,0.005362,19,0.003643,19,0.005145,19,0.004268,19,0.006803,19,0.004139,19,0.006475,19,0.003579,19,0.002803,19,0.006533,19,0.004211,19,0.005765,19,0.005549,19,0.003416,19,0.002526,19,0.005472,19,0.00501,19,0.005287,19,0.00617,19,0.006124,19,0.004663
20,0.002934,20,0.00304,20,0.003011,20,0.003469,20,0.005092,20,0.003698,20,0.003142,20,0.003111,20,0.005037,20,0.00437,20,0.002749,20,0.003425,20,0.003015,20,0.005447,20,0.003441,20,0.005203,20,0.00244,20,0.001987,20,0.005575,20,0.003044,20,0.004414,20,0.004135,20,0.002538,20,0.001644,20,0.00422,20,0.003484,20,0.003806,20,0.004619,20,0.004805,20,0.00331
