11,-347.4712,11,-385.4945,11,-364.6761,11,-405.4437,11,-397.5365,11,-236.7269,11,-411.4266,11,-370.7399,11,-335.9127,11,-323.9803,11,-174.9249,11,-223.1712,11,-187.9243,11,-235.4372,11,-175.2561,11,-238.4761,11,-142.3387,11,-155.9612,11,-97.0017,11,-219.2202,11,-214.1019,11,-212.5047,11,-76.5106,11,-209.133,11,-137.3351,11,-110.2778,11,-289.0054,11,-64.279,11,71.0913,11,-20.1026,11,-9.0302,11,-46.8352,11,-37.1852,11,-83.0488,11,-111.3046,11,-109.9602,11,-132.6321,11,-163.9638,11,-91.0792,11,-138.558,11,-287.0771,11,-284.8806,11,-310.2258,11,-347.5789,11,-377.9428,11,-461.4229,11,-358.11,11,-145.7597,11,-300.9836,11,-215.7273
12,-362.2304,12,-374.3455,12,-389.2958,12,-402.2373,12,-420.8259,12,-247.6397,12,-397.2248,12,-367.7988,12,-357.5509,12,-359.1775,12,-166.9072,12,-223.6904,12,-157.2129,12,-216.1517,12,-159.4359,12,-223.335,12,-145.6299,12,-132.6581,12,-74.6653,12,-247.6651,12,-223.0241,12,-204.4176,12,-97.2353,12,-222.1665,12,-134.1161,12,-89.0987,12,-296.5607,12,-51.5202,12,59.1871,12,-34.2601,12,-25.5449,12,-51.2398,12,-40.0658,12,-91.4479,12,-111.9283,12,-117.5652,12,-110.2625,12,-147.951,12,-112.3706,12,-133.3895,12,-280.1091,12,-288.938,12,-300.1193,12,-320.8768,12,-368.1933,12,-462.7888,12,-346.402,12,-160.2629,12,-276.3509,12,-210.1759
13,-357.4605,13,-388.4534,13,-387.4027,13,-390.4389,13,-407.435,13,-268.3858,13,-366.7075,13,-366.7075,13,-367.0416,13,-371.2139,13,-178.9471,13,-213.9546,13,-152.4402,13,-201.4639,13,-148.6495,13,-214.1644,13,-156.9189,13,-121.9845,13,-59.0253,13,-256.9872,13,-214.3555,13,-191.0626,13,-128.2308,13,-221.2673,13,-149.2675,13,-72.9049,13,-294.7432,13,-37.1819,13,44.409,13,-56.2924,13,-39.4578,13,-57.77,13,-42.0914,13,-87.223,13,-102.3474,13,-99.3912,13,-113.6311,13,-125.5186,13,-128.1647,13,-124.8699,13,-275.321,13,-280.4533,13,-285.6857,13,-291.4128,13,-362.7956,13,-464.7947,13,-345.5652,13,-169.1756,13,-247.8602,13,-201.5278
14,-343.9026,14,-406.8043,14,-382.1873,14,-393.1103,14,-379.5281,14,-278.8281,14,-328.5247,14,-366.0628,14,-356.7624,14,-352.6349,14,-211.1738,14,-226.896,14,-164.1311,14,-168.7324,14,-162.4526,14,-213.0574,14,-155.7352,14,-133.1802,14,-69.6434,14,-253.8256,14,-186.84,14,-173.1993,14,-138.964,14,-210.9229,14,-159.6047,14,-73.3965,14,-277.2406,14,-19.3587,14,21.9747,14,-92.5124,14,-43.9345,14,-68.7109,14,-38.3326,14,-73.9822,14,-95.3142,14,-93.1691,14,-123.7339,14,-109.0461,14,-130.9167,14,-118.2626,14,-274.5251,14,-273.193,14,-281.1598,14,-284.3842,14,-353.6917,14,-435.9789,14,-347.5733,14,-189.0034,14,-225.1605,14,-189.7783
15,-347.3992,15,-400.8697,15,-385.5677,15,-403.5932,15,-357.2839,15,-288.3071,15,-315.3872,15,-381.193,15,-337.2596,15,-336.361,15,-246.3134,15,-241.7878,15,-174.0785,15,-154.7825,15,-188.7101,15,-203.9183,15,-136.6386,15,-153.0466,15,-88.2012,15,-240.4501,15,-155.1102,15,-148.4803,15,-138.5616,15,-199.553,15,-182.5071,15,-81.4343,15,-261.8458,15,-2.8009,15,9.7016,15,-127.2262,15,-43.6187,15,-76.3378,15,-43.8271,15,-57.567,15,-95.2813,15,-96.2763,15,-112.6366,15,-107.1574,15,-118.9305,15,-114.4219,15,-270.5691,15,-257.4415,15,-273.4466,15,-294.3864,15,-348.7084,15,-390.3254,15,-349.3647,15,-196.1587,15,-209.5705,15,-181.7497
16,-352.8153,16,-394.3701,16,-399.7129,16,-399.8913,16,-336.1482,16,-316.1113,16,-317.3457,16,-391.8174,16,-319.3248,16,-337.4267,16,-256.1141,16,-246.3571,16,-164.9097,16,-175.3758,16,-210.8905,16,-181.8841,16,-124.6342,16,-158.8077,16,-97.4861,16,-222.5597,16,-141.7181,16,-132.124,16,-146.8145,16,-193.4211,16,-215.0779,16,-77.8326,16,-249.0879,16,2.344,16,9.549,16,-141.9365,16,-37.3866,16,-63.6456,16,-55.1672,16,-47.2587,16,-106.0044,16,-87.6392,16,-93.8248,16,-123.9436,16,-110.294,16,-112.8867,16,-265.2822,16,-238.5648,16,-256.0216,16,-307.1759,16,-365.7206,16,-346.6304,16,-360.1829,16,-187.8638,16,-191.2912,16,-184.5605
17,-339.4272,17,-399.6898,17,-408.9686,17,-393.1354,17,-329.4493,17,-317.4989,17,-322.7824,17,-395.327,17,-324.4606,17,-335.5151,17,-239.7447,17,-231.7298,17,-146.133,17,-182.079,17,-217.212,17,-165.0353,17,-121.7496,17,-145.9433,17,-103.9073,17,-215.4757,17,-152.5334,17,-117.5831,17,-150.4938,17,-186.667,17,-228.5839,17,-79.0183,17,-250.6177,17,-2.7232,17,11.4672,17,-136.4494,17,-25.0001,17,-55.2523,17,-51.441,17,-37.0473,17,-107.6923,17,-76.4891,17,-77.8137,17,-148.6749,17,-88.9056,17,-107.3311,17,-256.0553,17,-237.7823,17,-261.3365,17,-327.2794,17,-367.0883,17,-323.9741,17,-375.207,17,-180.5822,17,-167.4609,17,-187.2909
18,-311.8839,18,-394.0692,18,-403.4082,18,-376.4281,18,-332.4157,18,-284.2116,18,-323.9145,18,-400.3042,18,-344.7455,18,-317.5539,18,-221.6516,18,-204.932,18,-147.4596,18,-176.4626,18,-201.2539,18,-160.2839,18,-117.622,18,-126.9853,18,-130.4356,18,-227.8244,18,-159.2928,18,-99.7866,18,-136.3433,18,-169.5772,18,-213.2039,18,-85.7354,18,-263.8911,18,-5.003,18,20.0317,18,-128.4947,18,-36.9812,18,-59.3156,18,-38.839,18,-25.7411,18,-93.7801,18,-55.0764,18,-59.3325,18,-155.4254,18,-76.8949,18,-101.7784,18,-255.4338,18,-242.7506,18,-286.0261,18,-338.0685,18,-354.3792,18,-327.3962,18,-369.5384,18,-176.5886,18,-155.5429,18,-194.0828
19,-277.6498,19,-389.7043,19,-401.8045,19,-375.1672,19,-329.513,19,-261.1074,19,-311.5736,19,-408.3325,19,-358.8271,19,-294.4758,19,-218.2677,19,-186.3581,19,-162.3935,19,-179.1999,19,-174.2221,19,-160.8151,19,-110.0657,19,-126.0623,19,-145.3882,19,-214.9939,19,-155.293,19,-102.1,19,-123.88,19,-152.3508,19,-183.1037,19,-91.5809,19,-269.6875,19,0.9708,19,18.9805,19,-138.6188,19,-65.1444,19,-50.9852,19,-31.0053,19,-23.869,19,-91.3341,19,-61.4843,19,-41.0757,19,-154.5711,19,-97.9015,19,-98.2537,19,-266.2021,19,-237.4492,19,-312.5144,19,-332.9555,19,-329.2266,19,-339.8763,19,-336.5598,19,-168.6688,19,-148.6553,19,-181.6687
20,-260.9818,20,-393.2303,20,-399.3249,20,-362.9252,20,-309.9929,20,-266.1329,20,-305.6024,20,-401.5907,20,-367.3952,20,-280.0491,20,-228.0439,20,-179.2531,20,-163.7847,20,-202.0329,20,-148.2403,20,-155.1657,20,-102.3017,20,-138.751,20,-155.6964,20,-173.2295,20,-151.9587,20,-115.079,20,-133.7905,20,-136.0433,20,-144.8833,20,-86.238,20,-264.0949,20,9.416,20,10.6082,20,-157.9725,20,-85.9923,20,-17.6773,20,-35.8692,20,-27.8655,20,-105.8442,20,-94.1175,20,-33.2396,20,-162.4876,20,-117.402,20,-94.5433,20,-266.493,20,-232.9084,20,-328.4304,20,-311.1749,20,-290.2922,20,-345.4303,20,-282.636,20,-158.0478,20,-170.331,20,-164.284
